   | BEFORE PROPAGATIONA                                           | BEFORE COLLISION                   | AFTER COLLISION
FL | 1.0, 1.0, 1.0                                                 | 1.0
it | FOUT[2,49,49] FOUT[5,50,49] FOUT [8,51,49]                    | FIN[[2,5,8],50,50]                 | FOUT[[2,5,8],50,50]
0 | [array([0., 0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
1 | [array([0., 0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
2 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
3 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
4 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
5 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
6 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
7 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
8 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
9 | [array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0., 0.])] | [0. 0. 0. 0. 0. 0. 0. 0. 0.] | [0. 0. 0. 0. 0. 0. 0. 0. 0.]
